ID;CreatedAt;LotCode;ItemCode;Warehouse;Location;QtyBefore;QtyRequested;QtyAfter;OperationType;Status;UserId;UserName;DeviceInfo;Source;Notes;ErrorMessage
1;2026-04-04T01:20:37.516933300;S76103660667;N/A;N/A;N/A;40,00;40,00;0,00;TOTALE;SUCCESS;92668751;admin;Flutter/Mobile;MOBILE;"";""
2;2026-04-04T01:30:47.413716800;S76103660666;N/A;N/A;N/A;40,00;10,00;30,00;PARTIELLE;SUCCESS;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";""
3;2026-04-04T02:04:12.184303200;M50101465929;N/A;N/A;N/A;500,00;10,00;490,00;PARTIELLE;SUCCESS;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";""
4;2026-04-04T03:11:04.116789500;M50101465929;N/A;N/A;N/A;490,00;1000,00;490,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Stock insuffisant: 490.0 < 1000.0"
5;2026-04-04T03:18:38.411665800;M50101465929;N/A;N/A;N/A;490,00;1000,00;490,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Stock insuffisant: 490.0 < 1000.0"
6;2026-04-04T03:21:12.005376100;M5010146529;N/A;N/A;N/A;0,00;0,00;0,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Lot introuvable : M5010146529"
7;2026-04-04T12:00:29.892232200;M50101465929;N/A;N/A;N/A;490,00;10000,00;490,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Stock insuffisant: 490.0 < 10000.0"
8;2026-04-04T12:07:50.642262600;M50101465929;N/A;N/A;N/A;490,00;10000,00;490,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Stock insuffisant: 490.0 < 10000.0"
9;2026-04-04T22:20:34.101539300;M50101465929;N/A;N/A;N/A;490,00;10000,00;490,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Stock insuffisant: 490.0 < 10000.0"
10;2026-04-04T22:50:10.993618200;M50101465929;N/A;N/A;N/A;490,00;10,00;480,00;PARTIELLE;SUCCESS;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";""
11;2026-04-10T11:14:50.750593600;S301960944;N/A;N/A;N/A;4,00;100000,00;4,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Stock insuffisant: 4.0 < 100000.0"
12;2026-04-10T11:15:20.391786500;S301960944;N/A;N/A;N/A;4,00;100000,00;4,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Stock insuffisant: 4.0 < 100000.0"
13;2026-04-10T11:15:20.761738400;S301960944;N/A;N/A;N/A;4,00;20000,00;4,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Stock insuffisant: 4.0 < 20000.0"
14;2026-04-10T11:47:07.703969800;S301960944;N/A;N/A;N/A;4,00;1000000,00;4,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Stock insuffisant: 4.0 < 1000000.0"
15;2026-04-10T11:51:37.467544500;S301960944;N/A;N/A;N/A;4,00;2,00;2,00;PARTIELLE;SUCCESS;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";""
16;2026-04-11T20:17:34.186016300;S301960944;100685093;04;COFAT;2,00;0,00;2,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Aucun magasin ERP pour cwar=04"
17;2026-04-11T20:25:20.026037200;S301960944;100685093;04;COFAT;2,00;0,00;2,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Aucun magasin ERP pour cwar=04"
18;2026-04-11T20:26:11.215605700;S301960944;100685093;04;COFAT;2,00;0,00;2,00;TOTALE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"";"Aucun magasin ERP pour cwar=04"
19;2026-04-11T21:32:27.982086400;S301960944;100685093;04;COFAT;2,00;0,00;2,00;PARTIELLE;FAILED;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";"Erreur ERP : Executing an update/delete query"
20;2026-04-11T22:40:43.860544900;S301960944;100685093;04;COFAT;2,00;1,00;1,00;PARTIELLE;SUCCESS;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";""
21;2026-04-11T22:46:09.325575300;S301960944;100685093;04;COFAT;1,00;1,00;0,00;TOTALE;SUCCESS;92668751;admin;Flutter/Mobile;MOBILE;"";""
22;2026-04-14T09:32:02.966052800;S301960945;100685093;04;COFAT;8,00;1,00;7,00;PARTIELLE;SUCCESS;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";""
23;2026-04-14T09:42:24.109886700;S301960945;100685093;04;COFAT;7,00;1,00;6,00;PARTIELLE;SUCCESS;92668751;admin;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";""
24;2026-04-14T23:11:22.047912200;S301960945;100685093;04;COFAT;6,00;1,00;5,00;PARTIELLE;SUCCESS;52629;555;Flutter/Mobile;MOBILE;"Sortie partielle via Mobile";""
